timestamp,Open,High,Low,Close,Volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,Returns,Log_Returns,SMA_20,SMA_50,SMA_200,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,Stoch_K,Stoch_D,RSI_Signal,BB_Signal,Stoch_Signal,MA_Signal,Weighted_Signal,Final_Signal
2025-05-10 22:00:00,2.4386,2.4499,2.4275,2.4487,31817773.6,1746917999999,77617082.21445,99925,15164844.0,37001357.59587,0,,,,,,,,0,,,,,,,0,0,0,0,0.0,0
2025-05-10 23:00:00,2.4486,2.4772,2.4456,2.4711,55304167.1,1746921599999,136159155.39506,158754,26637670.5,65588390.21147,0,0.00914771103034262,0.009106124145932917,,,,,,0,,,,,,,0,0,0,0,0.0,0
2025-05-11 00:00:00,2.471,2.4846,2.4008,2.4261,106381736.2,1746925199999,259335654.02055,288210,51595323.3,125776580.26965,0,-0.01821051353648173,-0.0183783658454266,,,,,,0,,,,,,,0,0,0,0,0.0,0
2025-05-11 01:00:00,2.4261,2.4399,2.3941,2.4062,41025907.5,1746928799999,99189307.94516,162265,18437790.5,44612770.60242,0,-0.00820246486129994,-0.008236290170461928,,,,,,0,,,,,,,0,0,0,0,0.0,0
2025-05-11 02:00:00,2.4063,2.42,2.382,2.3937,44534221.9,1746932399999,106901681.05861,140719,21129140.4,50744526.54419,0,-0.00519491314105236,-0.005208453617079261,,,,,,0,,,,,,,0,0,0,0,0.0,0
2025-05-11 03:00:00,2.3938,2.412,2.3828,2.4015,23582115.2,1746935999999,56620644.52596,81510,11428285.1,27441631.11008,0,0.0032585537034717227,0.003253256122534225,,,,,,0,,,,,,,0,0,0,0,0.0,0
2025-05-11 04:00:00,2.4015,2.4169,2.4,2.4166,14520185.2,1746939599999,34984342.68671,70044,7221969.3,17402906.23688,0,0.006287736831147139,0.006268051488328686,,,,,,0,,,,,,,0,0,0,0,0.0,0
2025-05-11 05:00:00,2.4165,2.4174,2.4032,2.404,11743848.0,1746943199999,28313462.95544,54556,6005068.6,14479405.74712,0,-0.005213936936191321,-0.005227576938109594,,,,,,0,,,,,,,0,0,0,0,0.0,0
2025-05-11 06:00:00,2.4041,2.4046,2.3705,2.3854,37534945.8,1746946799999,89590099.72685,137013,14688835.4,35060307.38997,0,-0.007737104825291108,-0.007767191510529477,,,,,,0,,,,,,,0,0,0,0,0.0,0
2025-05-11 07:00:00,2.3853,2.3853,2.3405,2.3541,65419559.7,1746950399999,154382270.73116,172720,29580319.5,69820112.28888,0,-0.013121489058439018,-0.013208336343031608,,,,,,0,,,,,,,0,0,0,0,0.0,0
2025-05-11 08:00:00,2.3541,2.3708,2.3478,2.3553,25780825.3,1746953999999,60850279.26632,91068,12771307.5,30143797.86761,0,0.000509748948642974,0.0005096190707825135,,,,,,0,,,,,,,0,0,0,0,0.0,0
2025-05-11 09:00:00,2.3554,2.3762,2.3509,2.3704,20950642.0,1746957599999,49602823.53160,77519,11623576.4,27517080.77933,0,0.006411072899418224,0.006390609387035821,,,,,,0,,,,,,,0,0,0,0,0.0,0
2025-05-11 10:00:00,2.3705,2.377,2.3616,2.3748,15472838.3,1746961199999,36686957.93641,56568,7629119.0,18090984.37438,0,0.001856226797165128,0.0018545061371649605,,,,,,0,,,,,,,0,0,0,0,0.0,0
2025-05-11 11:00:00,2.3748,2.3866,2.3689,2.385,19775809.3,1746964799999,47016468.68818,62815,10092657.1,24002116.06498,0,0.004295098534613295,0.004285900925921093,,,,38.82348554667698,,0,,,,,30.881332408049822,,0,0,0,0,0.0,0
2025-05-11 12:00:00,2.3851,2.3882,2.3715,2.3768,19987894.9,1746968399999,47563435.86229,74928,8827322.7,21006147.50771,0,-0.0034381551362683282,-0.0034440791740436897,,,,36.367703367154675,,0,,,,,25.19083969465635,,0,0,0,0,0.0,0
2025-05-11 13:00:00,2.3768,2.3874,2.3435,2.3452,40540280.3,1746971999999,95904670.69553,116588,16550894.3,39169468.76757,0,-0.013295186805789116,-0.013384359058337686,,,,28.805771706982682,,0,,,,,3.2616238723110005,19.777931991672393,1,0,1,0,0.4,1
2025-05-11 14:00:00,2.3452,2.3651,2.3442,2.3593,25406959.0,1746975599999,59844620.54620,84544,12910216.6,30412387.79603,0,0.006012280402524217,0.005994278762607514,,,,35.27301180953174,,0,,,,,18.913480885311994,15.788648150759782,0,0,1,0,0.2,0
2025-05-11 15:00:00,2.3593,2.373,2.3307,2.346,33525372.9,1746979199999,78861468.30041,104869,14981708.5,35257737.84062,0,-0.005637265290552307,-0.005653214639246873,,,,32.293114223415515,,0,,,,,17.13325867861133,13.102787812078107,0,0,1,0,0.2,0
2025-05-11 16:00:00,2.346,2.3555,2.3275,2.3473,42050087.4,1746982799999,98463211.42031,127460,20523818.4,48067590.42271,0,0.0005541346973572114,0.0005539812214207476,,,,32.8899062809251,,0,,,,,22.02447163515019,19.35707039969117,0,0,0,0,0.0,0
